org,repo,datalake,github
Microsoft,filter-explorer,180,180
Microsoft,matchem-poker-wp,9,9
Microsoft,TFS_NPM_Native,8,8
Microsoft,opencv,16879,16785
Microsoft,tracks,26,26
Microsoft,packer-hyperv,20,18
Microsoft,Win2D,1308,1295
Microsoft,StorScore,115,114
Microsoft,bond,1122,692
Microsoft,java-client-library,67,64
Microsoft,mwt-ds-decision-deprecated-,4050,4050
Microsoft,moodle-local_onenote,146,144
Microsoft,moodle-profilefield_o365,22,22
Microsoft,test-suite,3666,3666
Microsoft,AppInsights-ElasticSearch,33,33
Microsoft,CardinalityEstimation,37,32
Microsoft,CodeContracts,764,608
Microsoft,moodle-block_onenote,88,88
Microsoft,LLVMSharp,61,43
Microsoft,cordova-samples,221,216
Microsoft,MicrosoftStoreApi-docs-internal,2,2
Microsoft,nodejstools,3467,2946
Microsoft,steprunner,2,2
Microsoft,MetricSystem,22,22
Microsoft,vso-extension-tools,161,160
Microsoft,ApplicationInsights-Go,22,7
Microsoft,DirectXTK,448,431
Microsoft,java-example-rbroker-basics,3,3
Microsoft,react-native-code-push,1727,0
Microsoft,touchdevelop-mod,20,20
Microsoft,RTVS,6792,6477
Microsoft,ApplicationInsights-Docker,118,118
Microsoft,TypeScript-Package-Validator,3,3
Microsoft,GSLSpec,6,0
Microsoft,VisualFileInfo,1,1
Microsoft,healthvault-ios-sdk,215,133
Microsoft,microsoft-pdb,56,55
Microsoft,WPFDXInterop,47,36
Microsoft,wdg-cpub-test,1980,1918
Microsoft,vscode-extension-samples,122,126
Microsoft,vscode-mono-debug,218,229
Microsoft,cortana-samples,2,2
Microsoft,Multiverso,901,894
Microsoft,node-windows-mutex,25,25
Microsoft,MySQL-Provider,849,841
Microsoft,hardware-lab-kit,72,72
Microsoft,VirtualPCGuy-Private,4,4
Microsoft,vscode-tslint,293,302
Microsoft,StopGuessing,180,171
Microsoft,cordova-plugin-livereload,130,130
Microsoft,PythonInternalSite,3,3
Microsoft,vsts-bamboo-build-integration-sample,2,2
Microsoft,ospo-redir,15,15
Microsoft,MSR-SocialPlus-iOS-SDK,6,6
Microsoft,Imagine_fudge-roll,10,8
Microsoft,Office-js-docs_ko-kr,1,1
Microsoft,vsts-vscode,468,273
Microsoft,Angara.Statistics,52,50
Microsoft,PowerBI-visuals-community,45,45
Microsoft,MadMan,2,2
Microsoft,Build-Apache-Provider,26,26
Microsoft,Print-Cards-Extension,1,1
Microsoft,Fang,1,1
Microsoft,willow,6,4
Microsoft,VBA-content_fr-fr,17,17
Microsoft,dotnet-performance,11,10
Microsoft,MIMDocs,731,734
Microsoft,vs-diag-samples,39,39
Microsoft,generator-bingads-webpack-library,1,1
Microsoft,pxt-botframework,19,19
Microsoft,ChakraCore-wiki,400,439
Microsoft,Cognitive-Samples-FootnoteBot,11,9
Microsoft,vscode-sublime-keybindings,104,100
Microsoft,cci,71,58
Microsoft,RESX-Unused-Finder,10,10
Microsoft,pxt-sample,111,111
Microsoft,NTVS-telemetry-test,1,1
Microsoft,navonline-doc,21,19
Microsoft,AdventureWorksSkiApp,186,64
Microsoft,Cognitive-SpeakerRecognition-Windows,38,39
Microsoft,Cognitive-EntityLinking-Windows,19,10
Microsoft,HashCalculator,15,16
Microsoft,PowerBI-Node,101,79
Microsoft,MTMBuddy,14,14
Microsoft,PowerBI-visuals-contracts,18,18
Microsoft,mwt-ds,4789,4797
Microsoft,ospo-opensource-repos,1779,1301
Microsoft,Mesh-processing-library,42,42
Microsoft,DesktopBridgeToUWP-Samples,199,206
Microsoft,remotebuild,2138,2140
Microsoft,MSITARM1,2,1
Microsoft,vstest-docs,154,80
Microsoft,iCMSTest-Stage_de-DE,1123,1123
Microsoft,azure-mobile-apps-with-ionic,2,1
Microsoft,MicrosoftUWP_Unreal_Engine,1,1
Microsoft,MicrosoftUWP_UnrealEngine,48839,48839
Microsoft,api-guidelines,99,78
Microsoft,iCMS_WDG_Pilot_II_Prod_es-CO,1,1
Microsoft,ionic2-starter-blank,1,1
Microsoft,iCMS_WDG_Pilot_II_Prod_ha-Latn-NG,309,309
Microsoft,iCMS_WDG_Pilot_II_Prod_lt-LT,1106,1113
Microsoft,tfsgit-pr-injector,45,30
Microsoft,Imagine_street-racing,2,2
Microsoft,DirectXTK12,122,130
Microsoft,XamarinAzure_ShoppingDemoApp,19,19
Microsoft,dotnet-computevirtualization-tests,12,11
Microsoft,templates.vs.com,84,24
Microsoft,vstest,2117,563
Microsoft,satcheljs-todomvc,34,13
Microsoft,vsts-dockerfiles,17,21
Microsoft,Console-Docs,16,14
Microsoft,iCMS_WDG_Pilot_II_Prod_en-ZA,1,1
Microsoft,gulp-core-build,146,137
Microsoft,iCMS_WDG_Pilot_II_Prod_he-IL,1092,1099
Microsoft,load-themed-styles,61,55
Microsoft,iCMS_WDG_Pilot_II_Prod_pl-PL,1092,1099
Microsoft,edx-configuration,8412,8325
Microsoft,iCMS_WDG_Pilot_II_Prod_sl-SI,1092,1099
Microsoft,CMakeDebug,30952,0
Microsoft,iCMS_WDG_Pilot_II_Prod_th-TH,1095,1102
Microsoft,DSC-data-driven-deployment,61,61
Microsoft,CortanaSkillsAscend,48,6
Microsoft,Microsoft-graph-docs_es-es,23,24
Microsoft,sarif-viewer-vsix,1,1
Microsoft,techcasestudies,766,1120
Microsoft,Out-of-Office-Addin,6,6
Microsoft,pxt-neopixel,80,87
Microsoft,openpublishing-vscode-markdown,5,4
Microsoft,Azure-SQL-DB-auditing-OMS-integration-samples,1,1
Microsoft,Cognitive-LUIS-Windows,32,25
Microsoft,LastTest_fr-FR,1,1
Microsoft,LightGBM,1366,619
Microsoft,OD-NetCaps,5,0
Microsoft,gulp-core-build-webpack,67,66
Microsoft,oxa-tools-config,236,193
Microsoft,dts-gen,81,91
Microsoft,OnPrem-Cloud,1,1
Microsoft,Techcon_dogfooding2_de-DE,2,0
Microsoft,DevSkim-Sublime-Plugin,41,45
Microsoft,Techcon_dogfooding2_es-ES,2,0
Microsoft,project-rome,110,179
Microsoft,Git-Process-Management,321,294
Microsoft,TestManagementPacks,3,3
Microsoft,sp-dev-docs.de_de,13,19
Microsoft,BotBuilder-Azure,53,32
Microsoft,vscode-markdown-atom-grammar,3,3
Microsoft,csi-docs,202,219
Microsoft,web-build-tools,3575,2112
Microsoft,xbox-live-unity-plugin,140,38
Microsoft,BikeSharing360_Websites,16,16
Microsoft,bing-knowledge-graph-explorer,5,5
Microsoft,PowerBI-visuals-ClusterMap,106,98
Microsoft,DSC-EA,0,0
Microsoft,smartfactory_toolkit,0,0
Microsoft,PageTesting,5,5
Microsoft,ospo-ghcrawler,449,411
Microsoft,HealthChecker,0,0
Microsoft,Cognitive-Custom-Speech-Service,17,16
Microsoft,xbox-live-samples,68,35
Microsoft,AL,119,87
Microsoft,depcontrols,2,2
Microsoft,sf-compose,4,4
Microsoft,AzureMonitorAddonForSplunk,46,83
Microsoft,PowerBI-visuals-TimeBrush,584,584
Microsoft,delete-me-please,4,4
Microsoft,toronto-docs,13,13
Microsoft,Windows-appsample-get-started-js3d,1,1
Microsoft,RS2-BugBash2-Feb17,740,677
Microsoft,VS2017-RTM-Xamarin-Cycle-9-Forms-Azure-Sample,25,25
Microsoft,powerbi-visuals-timeseriesdecomposition,4,1
Microsoft,vssetup.powershell,81,63
Microsoft,BotFramework-Samples,4,4
Microsoft,powerbi-visuals-mekkochart,20,2
Microsoft,git,70745,0
Microsoft,GVFS,9,11
Microsoft,WebPlatformInstallerFeed,24,35
Microsoft,VSPackageDesigner,7,7
Microsoft,rras-utils,3,3
Microsoft,healthvault-java-sdk,15,22
Microsoft,pxt-minecraft-built,27,70
Microsoft,BLIS-SDK-SAMPLE,27,51
Microsoft,mico-fs-mbed-os5,3,3
Microsoft,tfs-cli-privacy,3,3
Microsoft,MRDesignLabs_Unity_Notes,3,8
Microsoft,openshift-origin,26,19
Microsoft,docker-buildx,2,3
Microsoft,Cognitive-Face-DotNetCore,8,9
Microsoft,movie-db-java-on-gcp,0,3
Microsoft,mobile-center-plugin-fastlane,23,0
Microsoft,SubscribableEvent,7,8
Microsoft,ctsTraffic,0,67
Microsoft,map-explorer,22,22
Microsoft,PartnerCenterPowerShellModule,20,28
Microsoft,dynamic-layout-sample,12,12
Microsoft,solitaire-wp,7,7
Microsoft,surveillance-camera,8,8
Microsoft,nokia-x-notifications-samples,6,6
Microsoft,mesos-azure,2,2
Microsoft,java-example-fraud-score,26,26
Microsoft,msopentech-tools-for-intellij,697,688
Microsoft,Lumia-Imaging-SDK-Extras,42,42
Microsoft,referencesource,34,20
Microsoft,o365rwsclient,14,14
Microsoft,Azure-Websites-Tool-for-Linux,1,1
Microsoft,Microsoft.IO.RecyclableMemoryStream,62,60
Microsoft,EDK2,442,416
Microsoft,CppLab,215,0
Microsoft,Incast,6,6
Microsoft,msbuild,3660,0
Microsoft,dotnet-tools,93,93
Microsoft,ApplicationInsights-JS,1027,967
Microsoft,node-v0.12,10757,10739
Microsoft,Tocino,9190,9190
Microsoft,vsts-extension-samples,255,240
Microsoft,PartsUnlimitedMRP,661,342
Microsoft,Office-Online-Test-Tools-and-Documentation,518,394
Microsoft,WindowsUIDevLabs,234,241
Microsoft,psci-lib,51,51
Microsoft,mwt-ds-explore-test,22,22
Microsoft,3-in-1-dock,10,5
Microsoft,WingTipTickets,479,408
Microsoft,ospo-scanning,6,6
Microsoft,code-push,990,889
Microsoft,Virtualization-Documentation-Private,6389,5793
Microsoft,ApplicationInsights-Announcements,2,2
Microsoft,nodejs-guidelines,156,0
Microsoft,vscode-connect,11,0
Microsoft,Bowtie,193,191
Microsoft,java-vm-creation-private,71,76
Microsoft,vscode-debugadapter-node,249,252
Microsoft,Apache-Provider,1341,1335
Microsoft,ivy,327,319
Microsoft,KafkaDiskRebalancerTool,4,4
Microsoft,vscode-update-server,161,167
Microsoft,vsts-jenkins-build-integration-sample,4,4
Microsoft,CNTK-exp-private,9389,9334
Microsoft,HoloToolkit-Unity,1641,1289
Microsoft,ospo-witness,32,31
Microsoft,kindscript-microbit-skeleton,8,8
Microsoft,Loop-Android-SDK,439,210
Microsoft,TypeSearch,40,38
Microsoft,PowerBI-Angular2,2,2
Microsoft,leaf-plugin-vcq,9,9
